// Dump of all classes for "bms" as at 2022/12/18
//

CFireSmoke - _firesmoke
CPlasma - _plasma
CBaseEntity - ai_ally_manager
CBaseEntity - ai_ally_speech_manager
CAI_BaseNPC - ai_baseflyergeneric
CBaseEntity - ai_battle_line
CBaseEntity - ai_changehintgroup
CBaseEntity - ai_changetarget
CBaseEntity - ai_goal_actbusy
CBaseEntity - ai_goal_actbusy_queue
CBaseEntity - ai_goal_assault
CBaseEntity - ai_goal_follow
CBaseEntity - ai_goal_lead
CBaseEntity - ai_goal_lead_weapon
CBaseEntity - ai_goal_operator
CBaseEntity - ai_goal_standoff
CBaseEntity - ai_goal_throw_prop
CBaseEntity - ai_hint
CBaseEntity - ai_network
CBaseEntity - ai_relationship
CBaseEntity - ai_script_conditions
CBaseEntity - ai_sound
CBaseEntity - ai_speechfilter
CBaseEntity - aiscripted_schedule
CAI_BaseNPC - aitesthull
CBaseEntity - ambient_generic
CAnimatedFollower - animated_follower
CBaseEntity - assault_assaultpoint
CBaseEntity - assault_rallypoint
CBeam - beam
CEnvBeamTeam - beamteam
CEnvCrossbowTracerEffect - blackmesa_crossbow_tracer
CLoadingScreenGenerator - blackmesa_loading_screen_generator
CBM_MP_Coop_GameRulesProxy - blackmesa_mp_coop_gamerules
CBM_MP_GameRulesProxy - blackmesa_mp_gamerules
CBM_MP_Teamplay_GameRulesProxy - blackmesa_mp_teamplay_gamerules
CBM_SP_GameRulesProxy - blackmesa_sp_gamerules
CBlackMesaViewModel - blackmesa_viewmodel
CBaseAnimating - bmortar
CBlackMesaPlayer - bms_bot
CBotAI - bot_zombie
CBaseAnimating - bspitwave
CCameraDeath - camera_death
CColorCorrection - color_correction
CColorCorrectionVolume - color_correction_volume
CBaseEntity - commentary_auto
CAI_BaseNPC - cycler_actor
CBaseFlex - cycler_flex
CDirectorResource - director_resource
CDynamicProp - dynamic_prop
CBaseEntity - entity_blocker
CEntityPlayerBase - entity_player_base
CEntityFlame - entityflame
CBeam - env_beam
CBaseEntity - env_beverage
CBaseEntity - env_blood
CBaseEntity - env_bubbles
CCascadeLight - env_cascade_light
CBaseEntity - env_cascade_volume
CBaseEntity - env_credits
CBaseEntity - env_debughistory
CEnvDetailController - env_detail_controller
CBaseEntity - env_dispenser
CBaseEntity - env_doppler_emitter
CBaseEntity - env_dustpuff
DustTrail - env_dusttrail
CBaseAnimating - env_effectscript
CEmbers - env_embers
CEntityDissolve - env_entity_dissolver
CEntityFlame - env_entity_igniter
CBaseEntity - env_entity_maker
CBaseEntity - env_explosion
CBaseEntity - env_fade
CBaseEntity - env_fire
CFireTrail - env_fire_trail
CBaseEntity - env_firesensor
CBaseEntity - env_firesource
CFogController - env_fog_controller
CBaseEntity - env_funnel
CEnvGargantuaFlame - env_gargantua_flame
CBaseEntity - env_gibshooter
CBaseEntity - env_global
CSprite - env_glow
CBaseEntity - env_gon_mortar_area
CBaseEntity - env_gravity
CBaseEntity - env_gunfire
CBaseAnimating - env_holo_emitter
CBaseEntity - env_hudhint
CBaseEntity - env_introcredits
CBeam - env_laser
CEnvLaserDot - env_laser_dot
CLensflare - env_lensflare
CLightGlow - env_lightglow
CMaterialCountdown - env_material_timer
CBaseEntity - env_message
CBaseEntity - env_microphone
CBaseAnimating - env_mine
CDynamicProp - env_mortar_controller
CBaseEntity - env_mortar_launcher
MovieExplosion - env_movieexplosion
CBaseEntity - env_muzzleflash
CEnvParticleBeam - env_particle_beam
CParticlePerformanceMonitor - env_particle_performance_monitor
CEnv_ParticleTesla - env_particle_tesla
CEntityParticleTrail - env_particle_trail
CParticleFire - env_particlefire
CBaseEntity - env_particlelight
CEnvParticleScript - env_particlescript
ParticleSmokeGrenade - env_particlesmokegrenade
CBaseEntity - env_physexplosion
CBaseEntity - env_physimpact
CBaseEntity - env_physwire
CEnv_Pinch - env_pinch
CBaseEntity - env_player_surface_trigger
