// Dump of all classes for "cstrike" as at 2023/08/28
//

CFireSmoke - _firesmoke
CPlasma - _plasma
CBaseEntity - ai_ally_speech_manager
CBaseEntity - ai_battle_line
CBaseEntity - ai_changehintgroup
CBaseEntity - ai_changetarget
CBaseEntity - ai_goal_assault
CBaseEntity - ai_goal_follow
CBaseEntity - ai_goal_lead
CBaseEntity - ai_goal_lead_weapon
CBaseEntity - ai_goal_standoff
CBaseEntity - ai_hint
CBaseEntity - ai_network
CBaseEntity - ai_script_conditions
CBaseEntity - ai_sound
CBaseEntity - ai_speechfilter
CBaseEntity - aiscripted_schedule
CAI_BaseNPC - aitesthull
CBaseEntity - ambient_generic
CBaseAnimating - ammo_338mag
CBaseAnimating - ammo_357sig
CBaseAnimating - ammo_45acp
CBaseAnimating - ammo_50ae
CBaseAnimating - ammo_556mm
CBaseAnimating - ammo_556mm_box
CBaseAnimating - ammo_57mm
CBaseAnimating - ammo_762mm
CBaseAnimating - ammo_9mm
CBaseAnimating - ammo_buckshot
CBaseEntity - assault_assaultpoint
CBaseEntity - assault_rallypoint
CBeam - beam
CColorCorrection - color_correction
CColorCorrectionVolume - color_correction_volume
CBaseEntity - commentary_auto
CCSPlayer - cs_bot
CCSGameRulesProxy - cs_gamerules
CCSPlayerResource - cs_player_manager
CCSRagdoll - cs_ragdoll
CCSTeam - cs_team_manager
CAI_BaseNPC - cycler
CAI_BaseNPC - cycler_actor
CAI_BaseNPC - cycler_blender
CBaseFlex - cycler_flex
CWeaponCycler - cycler_weapon
CAI_BaseNPC - cycler_wreckage
CDynamicProp - dynamic_prop
CBaseEntity - entity_blocker
CEntityFlame - entityflame
CBeam - env_beam
CBaseEntity - env_beverage
CBaseEntity - env_blood
CBaseEntity - env_bubbles
CBaseEntity - env_credits
CBaseEntity - env_debughistory
CEnvDetailController - env_detail_controller
CBaseEntity - env_dustpuff
DustTrail - env_dusttrail
CBaseAnimating - env_effectscript
CEmbers - env_embers
CEntityDissolve - env_entity_dissolver
CEntityFlame - env_entity_igniter
CBaseEntity - env_entity_maker
CBaseEntity - env_explosion
CBaseEntity - env_fade
CBaseEntity - env_fire
CFireTrail - env_fire_trail
CBaseEntity - env_firesensor
CBaseEntity - env_firesource
CFogController - env_fog_controller
CBaseEntity - env_funnel
CBaseEntity - env_global
CSprite - env_glow
CBaseEntity - env_gunfire
CBaseEntity - env_hudhint
CBeam - env_laser
CLightGlow - env_lightglow
CBaseEntity - env_message
CBaseEntity - env_microphone
MovieExplosion - env_movieexplosion
CBaseEntity - env_muzzleflash
CParticlePerformanceMonitor - env_particle_performance_monitor
CEntityParticleTrail - env_particle_trail
CParticleFire - env_particlefire
CBaseEntity - env_particlelight
CEnvParticleScript - env_particlescript
ParticleSmokeGrenade - env_particlesmokegrenade
CBaseEntity - env_physexplosion
CBaseEntity - env_physimpact
CBaseEntity - env_physwire
CBaseEntity - env_player_surface_trigger
CEnvProjectedTexture - env_projectedtexture
CEnvQuadraticBeam - env_quadraticbeam
CBaseEntity - env_ragdoll_boogie
RocketTrail - env_rockettrail
CBaseEntity - env_rotorshooter
CEnvScreenEffect - env_screeneffect
CEnvScreenOverlay - env_screenoverlay
CBaseEntity - env_shake
CBaseEntity - env_shooter
CSmokeStack - env_smokestack
SmokeTrail - env_smoketrail
CBaseEntity - env_soundscape
CBaseEntity - env_soundscape_proxy
CBaseEntity - env_soundscape_triggerable
CBaseEntity - env_spark
CBaseEntity - env_splash
SporeExplosion - env_sporeexplosion
SporeTrail - env_sporetrail
CSprite - env_sprite
CSpriteOriented - env_sprite_oriented
CSpriteTrail - env_spritetrail
CSteamJet - env_steam
CSteamJet - env_steamjet
CSun - env_sun
CBaseEntity - env_texturetoggle
CEnvTonemapController - env_tonemap_controller
CBaseEntity - env_tracer
CBaseEntity - env_viewpunch
CEnvWind - env_wind
CBaseEntity - env_zoom
CBaseEntity - event_queue_saveload_proxy
CBaseEntity - filter_activator_class
CBaseEntity - filter_activator_mass_greater
CBaseEntity - filter_activator_name
CBaseEntity - filter_activator_team
CBaseEntity - filter_base
CBaseEntity - filter_damage_type
CBaseEntity - filter_enemy
CBaseEntity - filter_multi
CFish - fish
CBaseCSGrenadeProjectile - flashbang_projectile
CBaseEntity - func_areaportal
CFuncAreaPortalWindow - func_areaportalwindow
CBaseEntity - func_bomb_target
CBaseEntity - func_breakable
CBreakableSurface - func_breakable_surf
CBaseEntity - func_brush
CBaseEntity - func_button
CBaseEntity - func_buyzone
CBaseEntity - func_clip_vphysics
CFuncConveyor - func_conveyor
CBaseDoor - func_door
CBaseDoor - func_door_rotating
CFunc_Dust - func_dustcloud
CFunc_Dust - func_dustmotes
CBaseEntity - func_fish_pool
CFootstepControl - func_footstep_control
CBaseEntity - func_guntarget
CBaseEntity - func_hostage_rescue
CBaseEntity - func_illusionary
CBaseEntity - func_ladderendpoint
CFunc_LOD - func_lod
CFuncMonitor - func_monitor
CBaseEntity - func_movelinear
CBaseEntity - func_nav_avoid
CBaseEntity - func_nav_avoidance_obstacle
CBaseEntity - func_nav_blocker
CBaseEntity - func_nav_prefer
CBaseEntity - func_nav_prerequisite
CFuncOccluder - func_occluder
